Translator,Field Name,KV NL Value,KV BEFR Value,Lengte KVNL,Lengte KV BEFR,Length difference,Untranslated?,Question to developer,Feedback/suggestion to translator,iOS Field Name,iOS Value,
Ans,activity__purchase__order__checkout__delivery,Verzendkosten,Frais de livraison,13,18,138%,FALSE,,,OrderHistory,Verzendkosten,
Ans,activity__purchase__order__checkout__total,Totaal,Total,6,5,83%,FALSE,,,,,
Ans,activity__purchase__order__checkout__header__calender_reminder,Voeg toe aan agenda,Ajouter à l'agenda,19,18,95%,FALSE,,,CalendarReminderText,Voeg toe aan agenda,
Ans,activity__purchase__order__checkout__header__contact_service,Klanten service,Service client,15,14,93%,FALSE,,,ContactServiceText,Klanten service,
Ans,activity__purchase__order__checkout__header__pickup_document,Afhaal bewijs,Bon de retrait,13,14,108%,FALSE,,,,,
Ans,activity__purchase__order__checkout__header__load_items_to_cart,Bestel opnieuw,Commander à nouveau,14,19,136%,FALSE,,,LoadItemsText,Bestel opnieuw,
Ans,activity__purchase__order__number,Order 1$d van %2$d,Commande 1$d de %2$d,18,20,111%,FALSE,,,,,
Ans,activity__purchase__order__skip,Sla bestelling over,Sauter la commande,19,18,95%,FALSE,,,,,
Ans,activity__purchase__order__delivery__address,Bezorgadres,Adresse de livraison,11,20,182%,FALSE,,,,,
Ans,activity__purchase__order__delivery__store,Bezorgadres winkel,Magasin de retrait,18,18,100%,FALSE,,,,,
Ans,activity__purchase__order__delivery__time__=,Levertijd,Délai de livraison,9,18,200%,FALSE,,,,,
Ans,activity__purchase__order__delivery__time__home,Bezorgdatum,Date de livraison,11,17,155%,FALSE,,,DeliveryTime,Bezorgdatum,
Ans,activity__purchase__order__delivery__time__pickup,Afhaaldatum,Date de retrait,11,15,136%,FALSE,,,,,
Ans,activity__purchase__order__credit_card_payment,Betaling,Paiement,8,8,100%,FALSE,,,,,
Ans,activity__purchase__order__set__credit_card,Kies creditcard,Choisir carte de crédit,15,23,153%,FALSE,betaalwijze?,,,,
Ans,activity__purchase__order__set__delivery__window,Kies bezorgtijd,Choisir plage de livraison,15,26,173%,FALSE,,,Delivery,Kies bezorgtijd,
Ans,activity__purchase__order__set__delivery__address,Kies adres,Choisir l'adresse,10,17,170%,FALSE,,,,,
Ans,activity__purchase__order__accept__title,Accepteren,Accepter,10,8,80%,FALSE,,,,,
Ans,activity__purchase__order__accept__explanation,Doorgaan,Continuer,8,9,113%,FALSE,,,,,
Ans,activity__purchase__order__incomplete__title,Sommige bestellingen zijn nog niet af,Il y a des commandes incomplètes,37,32,86%,FALSE,,,,,
Ans,activity__purchase__order__incomplete__order_explanation,Je bestelling blijft in je winkelmand,Les articles restent dans votre panier,37,38,103%,FALSE,,,,,
Ans,activity__purchase__order__incomplete__orders_explanation,Je bestelling blijft in je winkelmand,Les articles restent dans votre panier,37,38,103%,FALSE,,,,,
Ans,activity__purchase__order__details_not_confirmed,Ordergegevens niet bevestigd,Données de commande non confirmées,28,34,121%,FALSE,,,,,
Ans,activity__purchase__order__place__order__error_connection,"Opes, er is even geen internet. Controleer je internetverbinding en probeer opnieuw.","Oups, vous êtes hors ligne. Merci de vérifier votre connexion internet et de réessayer.",84,87,104%,FALSE,,,,,
Ans,activity__purchase__order__place__order__title,Betaal en plaats bestelling,Payer et commander,27,18,67%,FALSE,,,PayAndPlaceOrder,Betaal en plaats bestelling,
Ans,activity__purchase__order__place__orders_title,Bestellingen plaatsen,Passer des commandes,21,20,95%,FALSE,,,,,
Ans,activity__purchase__order__no_orders,Geen bestellingen,Aucune commande,17,15,88%,FALSE,,,,,
Ans,activity__purchase__order__product_price__discount,Korting:,Réduction :,8,11,138%,FALSE,,,,,
Ans,activity__purchase__order__product_price__total_description,Totaal,Total,6,5,83%,FALSE,,,TotalLabel,Totaal,
Ans,activity__purchase__per_item_description,Per product,Par produit,11,11,100%,FALSE,,,,,
Ans,activity__purchase__product__list_units,Producten,Produits,9,8,89%,FALSE,,,,,
Ans,activity__purchase__product__not_available,Niet beschikbaar,Indisponible,16,12,75%,FALSE,,,NotAvailable,Niet beschikbaar,
Ans,activity__purchase__task_order_details_select__address,Kies adres,Choisir adresse,10,15,150%,FALSE,,,,,
Ans,activity__purchase__task_order_details_select__credit_card,Kies creditcard,Choisir carte de crédit,15,23,153%,FALSE,betaalwijze?,,,,
Ans,activity__purchase__task_order_details_select__delivery__time__=,Kies bezorgmoment,Choisir plage de livraison,17,26,153%,FALSE,,,,,
Ans,activity__purchase__task_order_details_select__delivery__time__pickup,Selecteer afhaalmoment,Choisir moment de retrait,22,25,114%,FALSE,,,,,
Ans,activity__purchase__task_order_details_select__delivery__time__home,Kies bezorgmoment,Choisir plage de livraison,17,26,153%,FALSE,,,,,
Ans,activity__purchase__task_order_details_select__delivery__method,Kies bezorgwijze,Choisir mode de livraison,16,25,156%,FALSE,,,,,
Ans,activity__purchase__task_order_details_select__store,Kies winkel,Choisir le magasin,11,18,164%,FALSE,,,,,
Ans,activity__purchase__choose_retailer_from_list,Kies winkel,Choisir le magasin,11,18,164%,FALSE,,,,,
Ans,activity__purchase__complete__share_app__=,Deel app,Partager l'appli,8,16,200%,FALSE,,,,,
Ans,activity__purchase__complete__share_app__text,"Hallo, probeer deze app van Kruidvat.\nhttps://play.google.com/store/apps/details?id=nl.kruidvat.voordeelkaart","Bonjour, ça vous dirait d'essayer cette appli Kruidvat ?\nhttps://play.google.com/store/apps/details?id=nl.kruidvat.voordeelkaart",110,129,117%,FALSE,Dutch URL,,,,
Ans,activity__purchase__complete__thank_you,Bedankt voor het winkelen met Kruidvat!,Merci d'avoir fait vos achats chez Kruidvat !,39,45,115%,FALSE,,,,,
Ans,activity__purchase__complete__processing_your_order,We zijn met je bestelling bezig. We laten je weten als deze wordt verzonden.,Nous sommes en train de traiter votre commande. Nous vous informerons de son envoi.,76,83,109%,FALSE,,,MiddleTextLabel,We zijn met je bestelling bezig. We laten je weten als deze wordt verzonden.,
Ans,activity__purchase__complete__please_rate_us,Beoordeel ons!.,Donnez votre avis,15,17,113%,FALSE,,,,,
Ans,activity__purchase__complete__add_to_calendar,Reminder toevoegen aan kalender?,Ajouter un rappel au calendrier ?,32,33,103%,FALSE,,,ReminderLabel,Reminder toevoegen aan kalender,
Ans,activity__purchase__complete__choose_calendar,Kalender kiezen,Choisir calendrier,15,18,120%,FALSE,,,,,
Ans,activity__purchase__complete__delivery_reminder,Herinnering levering - %1%s,Rappel livraison - %1%s,27,23,85%,FALSE,,,,,
Ans,activity__purchase__complete__calendar_not_available,Er is geen kalender beschikbaar. Controleer ajb.,Aucun calendrier disponible. Merci de vérifier,48,46,96%,FALSE,,,,,
Ans,activity__purchase__complete__continue_shopping,Verder winkelen,Poursuivre vos achats,15,21,140%,FALSE,,,,,
Ans,activity__purchase__complete__status_description,We zijn bezig met je bestelling. Je krijgt een bericht van ons als je bestelling onderweg is.,Nous sommes en train de traiter votre commande. Nous vous informerons de son envoi.,93,83,89%,FALSE,,,,,
Ans,activity__purchase__complete__payment__pending,Je hebt besteld. We gaan ermee aan de slag.,Vous avez passé votre commande. Nous allons procéder à son traitement.,43,70,163%,FALSE,,,TopTextProseccingLabel,Je hebt besteld. We gaan ermee aan de slag,
Ans,activity__purchase__complete__payment__failed,"Sorry, de betaling is niet gelukt","Désolés, le paiement a échoué",33,29,88%,FALSE,,,TopTextFailedLabel,"Sorry, de betaling is niet gelukt",
Ans,activity__purchase__summary__title_text,Overzicht,Aperçu,9,6,67%,FALSE,,,HeaderLabel,Overzicht,
Ans,activity__purchase__summary__total_price_text,Totaal	 %1$s,Total %1$s,12,10,83%,FALSE,,,,,
Ans,activity__purchase__summary__items_count_text,%1$d	 artikel(en),%1$d article(s),17,15,88%,FALSE,,,Items,artikel(en),
Ans,activity__purchase__summary__hint_write_comment,Schrijf je opmerking hier,Écrivez votre commentaire ici,25,29,116%,FALSE,,,,,
Ans,activity__purchase__summary__low_vat_text,Btw laag         %1$s,TVA réduite %1$s,21,16,76%,FALSE,,,LowVAT,Btw laag,
Ans,activity__purchase__summary__high_vat_text,Btw hoog	 %1$s,TVA normale %1$s,14,16,114%,FALSE,,,CheckOutCell,Btw hoog,
Ans,activity__purchase__summary__item_price,Prijs,Prix,5,4,80%,FALSE,,,,,
Ans,activity__purchase__summary__discount_text,Korting,Réduction,7,9,129%,FALSE,,,DiscountLabel,Korting,
Ans,activity__purchase__summary__use_gift_card,Gebruik een cadeaukaart,Utiliser une carte cadeau,23,25,109%,FALSE,,,DiscountButton,Gebruik een cadeaukaart,
Ans,activity__purchase__summary__attach_membership_card,Jouw Extra Voordeelkaart,Votre Carte Maxi Avantages,24,26,108%,FALSE,,,AttachMembershipCard,Jouw Extra Voordeelkaart,
Ans,activity__purchase__summary__price_text,Prijs,Prix,5,4,80%,FALSE,,,,,
Ans,activity__purchase__summary__membership_card_text,<u>Jouw Extra Voordeelkaart</u>,<u>Votre Carte Maxi Avantages</u>,31,33,106%,FALSE,,,,,
Ans,activity__purchase__summary__delivery_text,Verzendkosten,Frais de livraison,13,18,138%,FALSE,,,,,
Ans,activity__purchase__summary__loyalty_points__text__possible,Hier zijn punten te sparen,Gagnez des points,26,17,65%,FALSE,,,,,
Ans,activity__purchase__summary__loyalty_points__text__earned,Aantal punten,Nombre de points,13,16,123%,FALSE,,,CouldEarnPoints,Aantal punten,
Ans,activity__purchase__summary__loyalty_points__value,%1$s,%1$s,4,4,100%,TRUE,,,,,
Ans,activity__purchase__cogo_multi_price_summary_section__title,Dozen,Boîtes,5,6,120%,FALSE,,,,,
Ans,activity__purchase__cogo_multi_price_summary_section__detail,Meer informatie,Plus d'informations,15,19,127%,FALSE,,,,,
Ans,activity__purchase__delivery__time_picker__=,Levering - %1$s %2$s %3$s,Livraison - %1$s %2$s %3$s,25,26,104%,FALSE,,,,,
Ans,activity__purchase__delivery__time_picker__home,Bezorgmoment - %1$s %2$s-%3$s,Plage de livraison - %1$s %2$s %3$s,29,35,121%,FALSE,,,,,
Ans,activity__purchase__delivery__time_picker__pickup,Afhaalmoment - %1$s %2$s %3$s,Moment de retrait - %1$s %2$s %3$s,29,34,117%,FALSE,,,,,
Ans,activity__purchase__delivery__method__home,Thuis-bezorging,Livraison à domicile,15,20,133%,FALSE,NL : Thuisbezorging,,,,
Ans,activity__purchase__delivery__method__pickup_in_store,Ophalen in winkel,Retrait en magasin,17,18,106%,FALSE,,,KruidvatProfile,Ophalen in winkel,
Ans,activity__purchase__delivery__method__title,Kies bezorgwijze,Choisir mode de livraison,16,25,156%,FALSE,is this a button (a client's choice) or a CTA?,,,,
Ans,activity__purchase__delivery__failed,Het is niet gelukt om bezorgmoment te bepalen. Probeer opnieuw.,Impossible de déterminer une plage de livraison. Veuillez réessayer.,63,68,108%,FALSE,NL : ... om een bezorgmoment ...,,,,
Ans,activity__purchase__delivery__description,Gratis thuisbezorgd vanaf 50 euro,Livraison gratuite dès 50 euros,33,31,94%,FALSE,,,DeliveryInfo,Gratis thuisbezorgd vanaf 50 euro,
Ans,activity__purchase__detail_screen_delivery_method_title,Berorgen of afhalen,Livraison ou retrait,19,20,105%,FALSE,NL : Bezorgen,,,,
Ans,activity__purchase__place_order__error__general__=,Probeer opnieuw,Veuillez réessayer,15,18,120%,FALSE,,,,,
Ans,activity__purchase__place_order__error__general__title,"Sorry, er ging iets fout","Désolés, une erreur est survenue.",24,33,138%,FALSE,,,,,
Ans,activity__purchase__place_order__error__products__not_available,Deze producten zijn helaas niet op voorraad,Ces produits sont actuellement en rupture de stock,43,50,116%,FALSE,,,,,
Ans,activity__purchase__place_order__error__products__delivery_slot,Controleer het bezorgmoment. Selecteer een andere,Veuillez vérifier la plage de livraison et en choisir une autre,49,63,129%,FALSE,,,,,
Ans,activity__purchase__place_order__error__credit_card,Deze creditcard is helaas niet meer geldig.,Cette carte de crédit a l'air d'être expirée.,43,45,105%,FALSE,betaalwijze?,,,,
Ans,activity__purchase__place_order__error__no_relevant_cart__message,Probeer opnieuw,Veuillez réessayer,15,18,120%,FALSE,,,,,
Ans,activity__purchase__place_order__error__no_relevant_cart__title,"Sorry, je bestelling is niet geplaatst","Désolés, votre commande n'a pas été passée",38,42,111%,FALSE,,,,,
Ans,activity__purchase__place_order__error__cvv,Controleer de CVV-code,Veuillez vérifier le code CVV,22,29,132%,FALSE,,,,,
Ans,activity__purchase__place_order__error__connection,"Oeps, er is even geen internet. Controleer je internetverbinding en probeer opnieuw.","Oups, vous êtes hors ligne. Merci de vérifier votre connexion internet et de réessayer.",84,87,104%,FALSE,,,,,
Ans,activity__purchase__place_order__error__cancel_title,We kunnen je bestelling helaas niet verwerken,Il est malheureusement impossible de traiter votre commande,45,59,131%,FALSE,,,,,
Ans,activity__purchase__place_order__process__message,We verwerken je bestelling,Commande en cours de traitement,26,31,119%,FALSE,,,,,
Ans,activity__purchase__place_order__process__title,Wachten aub...,Veuillez patienter...,14,21,150%,FALSE,,Veuillez patienter ? -> aangepast,PleaseWait,Wachten aub...,
Ans,activity__purchase__price_bar__minimum_price_text,Minimale bestelwaarde %s<br><small>(Excl. verzendkosten)</small>,Montant minimum de commande %s<br><small>(Hors frais de livraison)</small>,64,74,116%,FALSE,,,MinimalOrderBottomText,(Excl. verzendkosten),
Ans,activity__purchase__select_delivery_method,Kies bezorgwijze,Choisir le mode de livraison,16,28,175%,FALSE,,,,,
Ans,activity__purchase__price_calculation_failed,"Sorry, het is niet gelukt om de prijs te berekenen. Probeer het nog een keer.","Désolés, nous n'avons pas réussi à calculer le prix. Veuillez réessayer.",77,72,94%,FALSE,,,,,
Ans,activity__purchase__problematic_product_task_title,Product %1$s is momenteel niet leverbaar,Le produit %1$s n'est actuellement pas livrable.,40,48,120%,FALSE,,,,,
Ans,activity__shelf__double_action_description,Verwijderen,Supprimer,11,9,82%,FALSE,,,,,
Ans,activity__shelf__maintain_mode_text,"Sorry, we zijn bezig met onderhoud. Kom je later terug?","Désolés, nous sommes en train d'entretenir l'application. Vous reviendrez plus tard ?",55,85,155%,FALSE,,,,,
Ans,activity__shelf__content_card_indicator_text_no_content,Geen inhoud,Vide,11,4,36%,FALSE,is this about the shopping cart or a general no content indicator ?,ik denk niet dat dit om de winkelmand gaat => heb er Vide van gemaakt,,,
Ans,activity__shelf__title_categories,ALLE ACTIES,TOUTES LES PROMOS,11,17,155%,FALSE,,,,,
Ans,activity__shelf__fashion_product_add_to_cart,Aan winkelmand toevoegen,Ajouter au panier d'achats,24,26,108%,FALSE,,,,,
Ans,activity__shelf__sandwich_product_add_to_cart,Aan winkelmand toevoegen,Ajouter au panier d'achats,24,26,108%,FALSE,,,,,
Ans,activity__shelf__voice_search_not_supported_message,Herkenning wordt niet ondersteund,Incompatible avec la reconnaissance vocale,33,42,127%,FALSE,,,,,
Ans,activity__shelf__tutorial_tap_to_dismiss,Klik hier om te stoppen,Cliquez ici pour arrêter,23,24,104%,FALSE,,,,,
Ans,activity__shelf__price_not_available,Niet op voorraad,Produit épuisé,16,14,88%,FALSE,,,,,
Ans,activity__shelf__product_information_home_only_text,Dit product kan alleen thuis bezorgd worden,Ce produit peut seulement être livré à domicile,43,47,109%,FALSE,,,ProductInfoView,Dit product kan alleen thuis bezorgd worden,
Ans,activity__shelf__buy_button_description_text,Bezorgkosten zijn niet inbegrepen,Hors frais de livraison,33,23,70%,FALSE,,,,,
Ans,activity__shelf__product_unavailable_message__age_restricted,Afhankelijk van leeftijd,Restriction d'âge,24,17,71%,FALSE,,,,,
Ans,,,,0,0,#DIV/0!,TRUE,,,,,
Ans,activity__shelf__product_unavailable_message__price_error,product niet beschikbaar,Produit indisponible,24,20,83%,FALSE,,,MaxAvailable,Product niet beschikbaar,
Ans,activity__shelf__product_unavailable_message__product_error,Product niet in assortiment,Ce produit est indisponible,27,27,100%,FALSE,,,,,
Ans,activity__shelf__product_unavailable_message__max_available,Max.beschikbaar %1$s,Max. disponible %1$s,20,20,100%,FALSE,,,,,
Ans,activity__shelf__product_unavailable_message__unavailable,Niet beschikbaar,Indisponible,16,12,75%,FALSE,,,NotAvailable,Niet beschikbaar,
Ans,activity__shelf__buttons_text__share,delen,partager,5,8,160%,FALSE,,,,,
Ans,activity__shelf__buttons_text__load_cart,laden,charger,5,7,140%,FALSE,,,,,
Ans,activity__shelf__buttons_text__lists,lijsten,listes,7,6,86%,FALSE,,,,,
Ans,activity__shelf__buttons_text__close,sluiten,fermer,7,6,86%,FALSE,,,,,
Ans,activity__shelf__medicine__normal,"Let op!<br>Dit is een medicijn.<br>Voor meer informatie,<u>Klik hier</u>","Attention !<br>Ceci est un médicament.<br>Pour plus d'informations, <u>cliquez ici</u>",72,86,119%,FALSE,,,ThisIsMedicine,"Dit is een medicijn.
 Voor meer infomatie, Klik hier",
Ans,activity__shelf__medicine__age_restriction,Let op! Dit is een geneesmiddel. Vanwege je leeftijd kun je dit product niet bestellen. Meer weten? <u>Klik hier</u>,"Attention ! Ceci est un médicament. Vous n'êtes pas autorisé(e) à commander ce produit à cause de votre âge. Pour en savoir plus, <u>cliquez ici</u>",116,148,128%,FALSE,,,,,
Ans,activity__shelf__category_promotions_title,Acties,Promos,6,6,100%,FALSE,,,PromotionCatName,Acties,
Ans,activity__smart_shelf__buy_button__=,Koop nu,Acheter,7,7,100%,FALSE,,,BuyButtonTitle,KOOP NU,
Ans,activity__smart_shelf__buy_button__maintain_text,Bestellen momenteel niet mogelijk,Il est actuellement impossible de commander,33,43,130%,FALSE,,,BuyButtonUnavailable,Bestellen momenteel niet mogelijk,
Ans,activity__smart_shelf__buy_button__login_prompt,Log in en bestel  ,Se connecter et commander,18,25,139%,FALSE,,,BasketView,LOG IN EN BESTEL,
Ans,activity__smart_shelf__menu__search__results_label,Zoekresultaten,Résultats de la recherche,14,25,179%,FALSE,,,SearchResult,Zoekresultaten,
Ans,activity__smart_shelf__menu__search__edit_text_hint,Zoeken...,Recherche en cours,9,18,200%,FALSE,,,,,
Ans,activity__smart_shelf__menu__camera_actions_title__select_image,Selecteer afbeelding ,Sélectionner l'image,21,20,95%,FALSE,,,,,
Ans,activity__smart_shelf__menu__camera_actions_title__take_picture,Maak foto,Prendre photo,9,13,144%,FALSE,,,SnapPhoto,Maak foto,
Ans,activity__smart_shelf__product_price_not_available,Fout in prijs,Prix erroné,13,11,85%,FALSE,,,,,
Ans,activity__smart_shelf__active__address__add__=,Adres toevoegen,Ajouter adresse,15,15,100%,FALSE,,,,,
Ans,activity__smart_shelf__active__address__add__store,Voeg winkel toe,Ajouter magasin,15,15,100%,FALSE,,,,,
Ans,activity__smart_shelf__active__address__complete_registration,Log in,Connexion,6,9,150%,FALSE,,,NavigationBar,Log in,
Ans,activity__smart_shelf__active__cart_title_suffix__item,Product,Produit,7,7,100%,FALSE,,,,,
Ans,activity__smart_shelf__active__cart_title_suffix__items,Producten,Produits,9,8,89%,FALSE,,,,,
Ans,activity__smart_shelf__search_result__title_default,Aanbevolen producten,Produits recommandés,20,20,100%,FALSE,,,RichContent,Aanbevolen producten,
Ans,activity__smart_shelf__search_result__cart_default_title,Winkelmand,Panier d'achats,10,15,150%,FALSE,,,,,
Ans,activity__smart_shelf__select_reseller,Kies verkoper,Choisir vendeur,13,15,115%,FALSE,,,,,
Ans,activity__smart_shelf__products_information_page__label_price_not_available,Niet beschikbaar,Indisponible,16,12,75%,FALSE,,,,,
Ans,activity__smart_shelf__products_information_page__title,Productafbeeldingen,Images de produits,19,18,95%,FALSE,,,ProductImages,Productafbeeldingen,
Ans,activity__smart_shelf__fragment_menu_content_continue_button,Doorgaan,Continuer,8,9,113%,FALSE,,,CloseButtonText,Doorgaan,
Ans,activity__smart_shelf__empty_cart__title,Lege winkelmand,Panier vide,15,11,73%,FALSE,,,,,
Ans,activity__smart_shelf__empty_cart__message,Je moet minstens één winkelmand hebben,Il faut avoir au moins un panier d'achats,38,41,108%,FALSE,,,,,
Ans,activity__smart_shelf__delete_cart__title,Verwijder winkelmand,Supprimer le panier,20,19,95%,FALSE,,,DeleteCartAlertTitle,Verwijder winkelmand,
Ans,activity__smart_shelf__delete_cart__message,Weet je zeker dat je deze winkelmand wil verwijderen?,Êtes-vous sûr(e) de vouloir supprimer ce panier d'achats ?,53,58,109%,FALSE,,,DeleteCartAlertMessage,Weet je zeker dat je deze winkelmand wil verwijderen?,
Ans,activity__smart_shelf__hint__cart_name,Naam,Nom,4,3,75%,FALSE,,,CartNameLabel,Naam,
Ans,activity__smart_shelf__hint__write_comment,Schrijf je opmerking hier,Écrivez votre commentaire ici,25,29,116%,FALSE,,,,,
Ans,activity__smart_shelf__detector_barcode_product_barcode_not_found,Dit product hebben we niet in ons assortiment of barcode is op dit moment niet bekend.,Ce produit ne figure pas dans l'assortiment ou le code-barres est actuellement inconnu.,86,87,101%,FALSE,,,DidDetectErrorMessagePt1,Dit product hebben we niet in ons assortiment of barcode is op dit moment niet bekend.,
Ans,activity__smart_shelf__multi_cart_title,Winkelmand,Panier d'achats,10,15,150%,FALSE,,,Basket,Winkelmand,
Ans,activity__smart_shelf__notification_product_share__added_product,%1$s toegevoegde %2$s artikel(en) aan winkelmand,%1$s article(s) %2$s ajouté(s) au panier d'achats,48,49,102%,FALSE,,,AddedPrefix,Aan,
Ans,activity__smart_shelf__notification_product_share__removed_product,%1$s verwijderde %2$s artikel(en) uit winkelmand,%1$s article(s) %2$s supprimé(s) du panier d'achats,48,51,106%,FALSE,,,IsRemoved,Verwijderd,
Ans,activity__smart_shelf__transaction_product_without_category,Dit product heeft geen categorie,Ce produit ne fait pas partie d'une catégorie,32,45,141%,FALSE,,,ProductHasNoCategory,product heeft geen categorie,
Ans,activity__smart_shelf__object_detection__recognition_failure,"Oeps, er ging iets mis. Probeer opnieuw","Oups, une erreur est survenue. Veuillez réessayer",39,49,126%,FALSE,,,,,
Ans,activity__smart_shelf__object_detection__barcode_not_found,Dit product hebben we niet in ons assortiment of barcode is op dit moment niet bekend.,Ce produit ne figure pas dans l'assortiment ou le code-barres est actuellement inconnu.,86,87,101%,FALSE,,,,,
Ans,activity__smart_shelf__object_detection__decorated_view_status,Klik hier om product te scannen,Cliquez ici pour scanner le produit,31,35,113%,FALSE,,,,,
Ans,activity__smart_shelf__message_cart_change_placeholder__|,added,added,5,5,100%,TRUE,,Please translate, ,,
